iter	Passed	Remaining
569	98377	74214
570	98542	74036
571	98675	73834
572	98846	73660
573	99009	73481
574	99190	73314
575	99349	73132
576	99517	72956
577	99681	72777
578	99869	72616
579	100036	72440
580	100212	72270
581	100384	72097
582	100541	71914
583	100714	71742
584	100890	71572
585	101049	71390
586	101209	71208
587	101372	71029
588	101530	70846
589	101687	70664
590	101856	70489
591	102049	70331
592	102215	70154
593	102389	69983
594	102558	69808
595	102721	69629
596	102874	69444
597	103036	69265
598	103205	69090
599	103363	68909
600	103534	68736
601	103705	68562
602	103880	68392
603	104053	68220
604	104216	68042
605	104394	67873
606	104562	67698
607	104735	67526
608	104891	67344
609	105044	67159
610	105221	66990
611	105386	66813
612	105559	66641
613	105701	66450
614	105877	66280
615	106050	66109
616	106208	65928
617	106368	65748
618	106540	65576
619	106686	65388
620	106847	65209
621	107012	65033
622	107169	64852
623	107343	64681
624	107504	64502
625	107663	64322
626	107819	64141
627	107977	63961
628	108143	63785
629	108316	63614
630	108482	63438
631	108629	63252
632	108800	63080
633	108973	62908
634	109132	62729
635	109292	62550
636	109466	62380
637	109636	62207
638	109792	62026
639	109960	61852
640	110145	61688
641	110290	61501
642	110437	61315
643	110610	61144
644	110781	60972
645	110940	60793
646	111091	60610
647	111254	60434
648	111408	60253
649	111535	60057
650	111710	59887
651	111880	59715
652	112033	59534
653	112223	59372
654	112386	59196
655	112548	59019
656	112701	58837
657	112862	58661
658	113009	58476
659	113207	58319
660	113371	58143
661	113528	57964
662	113676	57781
663	113841	57606
664	114007	57432
665	114174	57258
666	114326	57077
667	114478	56896
668	114637	56718
669	114824	56555
670	114995	56383
671	115170	56214
672	115345	56044
673	115507	55868
674	115660	55688
675	115811	55507
676	115971	55330
677	116142	55158
678	116293	54978
679	116448	54799
680	116635	54635
681	116804	54463
682	116985	54296
683	117150	54122
684	117306	53943
685	117474	53771
686	117642	53598
687	117782	53413
688	117988	53257
689	118175	53093
690	118362	52929
691	118538	52759
692	118714	52590
693	118871	52412
694	119053	52246
695	119235	52079
696	119408	51909
697	119585	51740
698	119750	51566
699	119919	51394
700	120095	51224
701	120273	51056
702	120446	50885
703	120610	50711
704	120778	50538
705	120946	50365
706	121080	50179
707	121242	50003
708	121468	49855
709	121649	49687
710	121827	49519
711	122009	49352
712	122186	49183
713	122367	49015
714	122532	48841
715	122679	48660
716	122850	48489
717	123035	48323
718	123225	48159
719	123405	47991
720	123585	47822
721	123752	47649
722	123924	47478
723	124102	47309
724	124293	47145
725	124461	46973
726	124622	46797
727	124812	46633
728	124984	46462
729	125156	46290
730	125324	46118
731	125502	45949
732	125681	45780
733	125848	45607
734	126008	45431
735	126188	45263
736	126358	45091
737	126526	44918
738	126706	44750
739	126877	44578
740	127054	44409
741	127230	44239
742	127415	44072
743	127593	43903
744	127758	43729
745	127927	43557
746	128055	43370
747	128219	43196
748	128382	43022
749	128550	42850
750	128713	42676
751	128889	42505
752	129060	42334
753	129235	42164
754	129409	41993
755	129580	41822
756	129752	41651
757	129887	41467
758	130070	41300
759	130235	41126
760	130400	40953
761	130580	40784
762	130741	40610
763	130912	40439
764	131059	40260
765	131217	40084
766	131380	39910
767	131533	39734
768	131696	39560
769	131842	39381
770	132004	39207
771	132163	39032
772	132307	38853
773	132484	38684
774	132658	38513
775	132833	38343
776	132989	38168
777	133156	37995
778	133327	37824
779	133492	37651
780	133663	37480
781	133820	37305
782	133993	37134
783	134171	36965
784	134330	36791
785	134503	36620
786	134664	36446
787	134819	36271
788	134967	36094
789	135127	35920
790	135289	35746
791	135475	35579
792	135642	35407
793	135785	35228
794	135967	35060
795	136151	34893
796	136327	34723
797	136513	34556
798	136676	34382
799	136844	34211
800	137021	34041
801	137213	33875
802	137386	33705
803	137556	33533
804	137715	33359
805	137882	33187
806	138058	33017
807	138246	32850
808	138423	32680
809	138588	32508
810	138744	32333
811	138903	32159
812	139085	31991
813	139246	31817
814	139409	31645
815	139573	31472
816	139736	31299
817	139884	31123
818	140046	30950
819	140221	30780
820	140385	30607
821	140546	30434
822	140709	30261
823	140900	30095
824	141035	29916
825	141209	29746
826	141362	29571
827	141526	29399
828	141683	29225
829	141865	29056
830	142030	28884
831	142193	28712
832	142368	28541
833	142530	28369
834	142701	28198
835	142845	28022
836	143024	27853
837	143184	27680
838	143360	27510
839	143498	27333
840	143654	27159
841	143806	26985
842	143967	26812
843	144146	26643
844	144306	26470
845	144457	26296
846	144609	26121
847	144772	25949
848	144944	25779
849	145128	25610
850	145309	25441
851	145482	25271
852	145636	25098
853	145790	24924
854	145957	24753
855	146130	24582
856	146301	24411
857	146457	24238
858	146622	24067
859	146785	23895
860	146952	23723
861	147115	23552
862	147261	23377
863	147434	23207
864	147603	23036
865	147782	22867
866	147949	22695
867	148101	22522
868	148275	22352
869	148447	22181
870	148616	22010
871	148776	21838
872	148944	21667
873	149109	21496
874	149319	21331
875	149571	21172
876	149758	21003
877	149936	20834
878	150111	20663
879	150278	20492
880	150474	20325
881	150650	20155
882	150827	19985
883	151011	19815
884	151210	19648
885	151416	19482
886	151585	19311
887	151749	19139
888	151924	18969
889	152071	18795
890	152234	18623
891	152400	18452
892	152575	18281
893	152749	18111
894	152909	17939
895	153085	17768
896	153286	17601
897	153463	17431
898	153659	17263
899	153843	17093
900	153998	16921
901	154175	16750
902	154358	16581
903	154527	16409
904	154715	16240
905	154853	16066
906	155029	15896
907	155205	15725
908	155375	15554
909	155581	15387
910	155771	15218
911	155943	15047
912	156119	14876
913	156304	14707
914	156490	14537
915	156664	14366
916	156859	14197
917	157061	14029
918	157237	13858
919	157399	13686
920	157547	13513
921	157721	13343
922	157900	13172
923	158087	13002
924	158271	12832
925	158446	12662
926	158627	12491
927	158808	12321
928	158979	12150
929	159149	11978
930	159316	11807
931	159478	11635
932	159644	11464
933	159794	11291
934	159952	11119
935	160116	10948
936	160285	10776
937	160437	10604
938	160614	10433
939	160786	10262
940	160954	10091
941	161134	9921
942	161288	9749
943	161474	9578
944	161637	9407
945	161805	9236
946	161969	9064
947	162149	8894
948	162331	8723
949	162502	8552
950	162686	8382
951	162857	8211
952	163030	8040
953	163197	7869
954	163371	7698
955	163518	7525
956	163688	7354
957	163858	7183
958	164029	7012
959	164177	6840
960	164354	6669
961	164521	6498
962	164685	6327
963	164859	6156
964	165023	5985
965	165172	5813
966	165323	5641
967	165465	5469
968	165630	5298
969	165787	5127
970	165928	4955
971	166098	4784
972	166264	4613
973	166420	4442
974	166604	4271
975	166781	4101
976	166953	3930
977	167143	3759
978	167305	3588
979	167466	3417
980	167635	3246
981	167786	3075
982	167951	2904
983	168095	2733
984	168276	2562
985	168423	2391
986	168584	2220
987	168736	2049
988	168891	1878
989	169067	1707
990	169231	1536
991	169400	1366
992	169552	1195
993	169697	1024
994	169868	853
995	170060	682
996	170215	512
997	170388	341
998	170548	170
999	170713	0
